,ĞŞÊÎÎ»µãÊı
Unigene000941_01.p1,3
Unigene005400_01.p1,3
Unigene026820_01.p1,3
Unigene010530_03.p1,3
Unigene005967_01.p1,3
Unigene038814_01.p1,3
Unigene019333_01.p1,3
Unigene009136_02.p1,3
Unigene039083_01.p1,3
Unigene039672_01.p1,3
Unigene009202_02.p1,3
Unigene007572_02.p1,3
Unigene014866_01.p1,3
Unigene047323_01.p1,3
Unigene014809_01.p1,3
Unigene020390_01.p1,3
Unigene035260_01.p1,3
Unigene021362_01.p1,3
Unigene018789_01.p1,3
Unigene037259_01.p2,3
Unigene045399_01.p1,3
Unigene011817_01.p1,3
Unigene041416_01.p1,3
Unigene034054_02.p1,3
Unigene038391_01.p1,3
Unigene035385_01.p1,3
Unigene029501_01.p1,3
Unigene043068_01.p1,3
Unigene046251_01.p1,3
Unigene004508_01.p1,3
Unigene044081_01.p1,3
Unigene032885_01.p1,3
Unigene032093_01.p1,3
Unigene044145_01.p1,3
Unigene023595_01.p1,3
Unigene039262_01.p1,3
Unigene045697_01.p1,3
Unigene006115_01.p1,3
Unigene020635_01.p1,3
Unigene049172_01.p1,3
Unigene048659_01.p1,3
Unigene007426_02.p1,3
Unigene001136_01.p1,3
Unigene044717_01.p1,3
Unigene003831_01.p1,3
Unigene009267_04.p1,3
Unigene023345_01.p1,3
Unigene025106_01.p1,3
Unigene020656_01.p1,3
Unigene008559_01.p1,3
Unigene041583_02.p1,3
Unigene001255_02.p1,3
Unigene027224_01.p1,3
Unigene015953_01.p1,3
Unigene007560_02.p1,3
Unigene009172_01.p1,3
Unigene018973_01.p1,3
Unigene045153_01.p1,3
Unigene022542_01.p1,3
Unigene015692_01.p1,3
Unigene000038_01.p1,3
Unigene045820_01.p1,3
Unigene007785_01.p1,3
Unigene012723_01.p1,3
Unigene036451_01.p1,3
Unigene029735_01.p1,3
Unigene021532_01.p1,3
Unigene003294_01.p1,3
Unigene038179_01.p1,3
Unigene003532_01.p1,3
Unigene010487_01.p1,3
Unigene006696_02.p1,3
Unigene048904_01.p1,3
Unigene037858_02.p1,3
Unigene045845_01.p1,3
Unigene029680_01.p1,3
Unigene049490_01.p1,3
Unigene030568_01.p1,3
Unigene038821_01.p1,3
Unigene029043_01.p1,3
Unigene023655_01.p1,3
Unigene012822_01.p1,3
Unigene005143_01.p1,3
Unigene037541_01.p1,3
Unigene012874_01.p1,3
Unigene026691_01.p1,3
Unigene030017_01.p1,3
Unigene036227_01.p1,3
Unigene044636_01.p1,3
Unigene009804_01.p1,3
Unigene020085_01.p1,3
Unigene005528_01.p1,3
Unigene036228_01.p1,3
Unigene003864_01.p1,3
Unigene039291_01.p1,3
Unigene014948_01.p1,3
Unigene018151_01.p1,3
Unigene044029_02.p1,3
Unigene002932_01.p1,3
Unigene008538_01.p1,3
Unigene036774_01.p1,3
Unigene035698_03.p1,3
Unigene041676_01.p1,3
Unigene020318_02.p1,3
Unigene046735_01.p1,3
Unigene039990_01.p1,3
Unigene038074_01.p1,3
Unigene025273_01.p1,3
Unigene035643_01.p1,3
Unigene016411_01.p1,3
Unigene024988_01.p1,3
Unigene009395_02.p1,3
Unigene024716_01.p1,3
Unigene007474_01.p1,3
Unigene046028_01.p1,3
Unigene050420_01.p1,3
Unigene041851_01.p1,3
Unigene030011_01.p1,3
Unigene033056_01.p1,3
Unigene025789_01.p1,3
Unigene050308_01.p1,3
Unigene016704_01.p1,3
Unigene037319_01.p1,3
Unigene006471_01.p1,3
Unigene016457_01.p1,3
Unigene014708_01.p1,3
Unigene022485_01.p1,3
Unigene035727_01.p1,3
Unigene011351_01.p1,3
Unigene000877_01.p2,3
Unigene035528_02.p1,3
Unigene042899_01.p1,3
Unigene008587_01.p1,3
Unigene043920_01.p1,3
Unigene037622_01.p1,3
Unigene050089_01.p1,3
Unigene041571_02.p1,3
Unigene034215_01.p1,3
Unigene026509_01.p1,3
Unigene008106_01.p1,3
Unigene031046_01.p1,3
Unigene049591_01.p1,3
Unigene010866_01.p1,3
Unigene035499_01.p1,3
Unigene011140_01.p1,3
Unigene041441_01.p1,3
Unigene049441_01.p1,3
Unigene049742_01.p1,3
Unigene001286_01.p1,3
Unigene045638_01.p1,3
Unigene021804_01.p1,3
Unigene047290_01.p1,3
Unigene050213_01.p1,3
Unigene041220_01.p1,3
Unigene021829_01.p1,3
Unigene033932_01.p1,3
Unigene013066_01.p1,3
Unigene039901_01.p1,3
Unigene001716_03.p1,3
Unigene005326_02.p1,3
Unigene043308_01.p1,3
Unigene021501_01.p1,3
Unigene025692_01.p1,3
Unigene007905_04.p1,3
Unigene004095_01.p2,3
Unigene003199_01.p1,3
Unigene000195_01.p1,3
Unigene008658_02.p1,3
Unigene010081_01.p1,3
Unigene046246_01.p1,3
Unigene047745_01.p1,3
Unigene048501_01.p1,3
Unigene041914_01.p1,3
Unigene008793_01.p1,3
Unigene010537_01.p1,3
Unigene035581_01.p1,3
Unigene015856_01.p1,3
Unigene050418_02.p1,3
Unigene025827_01.p1,3
Unigene030222_01.p1,3
Unigene028456_01.p1,3
Unigene014646_01.p1,3
Unigene023948_01.p1,3
Unigene008388_01.p1,3
Unigene003900_02.p1,3
Unigene037147_01.p1,3
Unigene002671_02.p1,3
Unigene030181_01.p1,3
Unigene039289_01.p1,3
Unigene021605_01.p1,3
